Доп. объявление группы	Тип объявления	Места показа	Мобильное объявление	ID группы	Название группы	Номер группы	Тип кампании	ID кампании (локальный)	ID кампании (серверный)	Название кампании	Валюта	ID фразы	Фраза (с минус-словами)	ID объявления	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Организация Яндекс.Справочника	Турбо-страница	Регион	Автоставка	Ставка	Ставка в сетях	Статус объявления	Статус фразы	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Параметр 1	Параметр 2	Метки	Изображение	Креатив	Статус модерации креатива	Уточнения	Минус-фразы на группу	Минус-фразы на кампанию	Возрастные ограничения	Ссылка на приложение в магазине	Тип устройства	Тип связи	Версия ОС	Трекинговая ссылка	Иконка	Рейтинг	Количество оценок	Цена
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		золотое кольцо туры		Туры по Золотому Кольцу	VIP-комфорт и личный гид	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Узнайте подробности!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_term={keyword}#tours			Москва	 -	100								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		туры по золотому кольцу		Туры по Золотому Кольцу	VIP-комфорт и личный гид	Индивидуальные туры по древним городам России. Mercedes S-Class, отели 5★, авторские маршруты. Суздаль, Владимир, Ярославль. Узнайте подробности!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_term={keyword}#tours			Москва	 -	100								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		экскурсии золотое кольцо		Экскурсии Золотое Кольцо	Премиум туры от 42 000₽	Эксклюзивные туры по древним городам с комфортом премиум-класса. Проживание 5★, трансферы, личный гид. Владимир, Суздаль, Ростов Великий.	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_term={keyword}#tours			Москва	 -	90								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		тур золотое кольцо из москвы		Золотое Кольцо из Москвы	Премиум туры от 42 000₽	Эксклюзивные туры по древним городам с комфортом премиум-класса. Проживание 5★, трансферы, личный гид. Владимир, Суздаль, Ростов Великий.	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_term={keyword}#tours			Москва	 -	110								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		Золотое Кольцо Общие	1	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		поездка по золотому кольцу		Поездка по Золотому Кольцу	Индивидуальные маршруты	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль. Подробнее на сайте!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_main&utm_term={keyword}#tours			Москва	 -	95								-бесплатно -дешево -работа -вакансии -карта														
 -	Текстово-графическое	search,context	 -		VIP и Премиум	2	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		vip туры золотое кольцо		VIP-туры Золотое Кольцо	Mercedes S-Class и отели 5★	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль.	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip_main&utm_term={keyword}#tours			Москва	 -	160								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		VIP и Премиум	2	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		индивидуальные туры золотое кольцо		Индивидуальные туры	По Золотому Кольцу России	Индивидуальные туры премиум-класса. Личный гид-историк, авторский маршрут, максимальный комфорт. Суздаль, Владимир, Ярославль.	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip_main&utm_term={keyword}#tours			Москва	 -	140								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		VIP и Премиум	2	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		премиум туры золотое кольцо		Премиум туры Золотое Кольцо	Комфорт и роскошь	Путешествие премиум-класса по древним городам России. Комфортабельный транспорт, лучшие отели, персональный сервис. Узнайте больше!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_vip_main&utm_term={keyword}#tours			Москва	 -	150								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		Города маршрута	3	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		туры в суздаль		Туры в Суздаль и Владимир	Золотое Кольцо от 42 000₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Подробности на сайте!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities_main&utm_term={keyword}#tours			Москва	 -	110								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		Города маршрута	3	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		туры в ярославль		Туры в Ярославль	Золотое Кольцо от 42 000₽	Посетите древние города Золотого Кольца с комфортом премиум-класса. Индивидуальные туры, личный гид, отели 5★. Подробности на сайте!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_cities_main&utm_term={keyword}#tours			Москва	 -	100								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		Гастрономия	4	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		гастрономический тур золотое кольцо		Гастротур Золотое Кольцо	Дегустации и мастер-классы	Авторские блюда, лучшие вина региона, мастер-классы от шефов. Посещение ферм и эксклюзивные рестораны. Узнайте больше!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_gastro_main&utm_term={keyword}#tours			Москва	 -	120								-бесплатно -дешево -работа -вакансии														
 -	Текстово-графическое	search,context	 -		Фототур	5	Текстово-графические объявления			Золотое Кольцо | Главная	RUB		фототур золотое кольцо		Фототур Золотое Кольцо	Золотые купола в объективе	Профессиональный фотограф-эксперт, секретные локации, лучшее время для съемки. Индивидуальный маршрут и обработка фото. Подробнее!	https://goldenring.vfs.travel/?utm_source=yandex&utm_medium=cpc&utm_campaign=golden_ring_photo_main&utm_term={keyword}#tours			Москва	 -	100								-бесплатно -дешево -работа -вакансии														
